Title,Title_URL,Address,Address_URL,City,Review,Price,Rating
Nackovad Hotels,https://hotels.ng/hotel/41167-nackovad-hotels-abuja,"Wuse, Abuja - Plot 5 Kabale Close Off Sultan Abubakar Way Behind Heritage House, Zone 3",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦10,000
                                               avg/night
                                           ",
Zizi Apartment Abuja,https://hotels.ng/hotel/99862-zizi-apartment-abuja-abuja,"Garki, Abuja - 115 Emeka Anyaoku Street, Area 8 Garki",https://hotels.ng/hotels-in-abuja/garki,Garki,,"₦25,200
                                               avg/night
                                           ",
Alphaplus Apartments,https://hotels.ng/hotel/1391608-alphaplus-apartments,"Jabi, Abuja - No 91 Ebitu Ukiwe Street, Jabi, FCT",https://hotels.ng/hotels-in-abuja/jabi,Jabi,An Amazing experience at this Apartment. I took my family to this apartment for a holiday ...,"₦40,900
                                               avg/night
                                           ",
Maz Hotel,https://hotels.ng/hotel/14311-maz-hotel-abuja,"Gwagwalada, Abuja - 15 Lake City Avenue Phase 1, Gwagwalada",https://hotels.ng/hotels-in-abuja/gwagwalada,Gwagwalada,,"₦8,000
                                               avg/night
                                           ",
FINMARK APARTMENTS,https://hotels.ng/hotel/1392180-finmark-apartments,"Apo, Abuja - 7, EVANS ENWEREM STREET, NATIONAL ASSEMBLY QUATERS ZONE A, APO ",https://hotels.ng/hotels-in-abuja/apo,Apo,,"₦20,000
                                               avg/night
                                           ",
 New Blue Diamond Hotel(Formerly Rosebud Hotel) ,https://hotels.ng/hotel/94245-emirates-international-hotel-suites-abuja,"Gwarinpa, Abuja - Plot C56 5th Avenue, Tai Solarin Avenue Gwarinpa Estate II",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,I found all the staff to be very welcoming and attentive. The hotel is also very clean.I a...,,6.7 Very Good
Pridemark Apartment ,https://hotels.ng/hotel/35574-pridemark-apartment-and-suite-abuja,"Garki, Abuja - 12 Borno Street, Area 10",https://hotels.ng/hotels-in-abuja/garki,Garki,My stay there was pretty much okay. My check in and check out was very smooth.  i have no ...,,
Denis Hotel,https://hotels.ng/hotel/42468-denis-hotel-abuja,"Wuse, Abuja - Plot 910, Malabo Street, Off Aminu Kano Crescent",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦35,000
                                               avg/night
                                           ",
Amso International Hotels,https://hotels.ng/hotel/83291-amso-international-hotels-abuja,"Wuse Zone 6, Abuja - Plot 85 Yaounde Street",https://hotels.ng/hotels-in-abuja/wuse-zone-6,Wuse Zone 6,,"₦13,500
                                               avg/night
                                           ",
Fraser Suites Abuja,https://hotels.ng/hotel/1241652-fraser-suites-abuja,"Central Business District, Abuja - Plot 294, Leventis Close",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,,"₦180,000
                                               avg/night
                                           ",
Lakewood Luxury Apartments,https://hotels.ng/hotel/1012353-lakewood-luxury-apartments-abuja,"Asokoro, Abuja - 5 Margaret Thatcher Close Off Queen Elizabeth Street, Asokoro.",https://hotels.ng/hotels-in-abuja/asokoro,Asokoro,,"₦40,000
                                               avg/night
                                           ",
TOKKE HALAL APARTMENT,https://hotels.ng/hotel/1002975-tokke-halal-apartment-abuja,"Utako, Abuja - N0.2 AHMADU ALI CRESCENT BEHIND NUGGET HOTEL UTAKO ABUJA",https://hotels.ng/hotels-in-abuja/utako,Utako,,"₦16,000
                                               avg/night
                                           ",
SV Chrome Hotel,https://hotels.ng/hotel/1013183-spanish-villa-abuja,"Jabi, Abuja - No. 101A Ebitu Ukiwe Street, Jabi, Abuja, FCT",https://hotels.ng/hotels-in-abuja/jabi,Jabi,,"₦55,000
                                               avg/night
                                           ",
Serob Legacy Hotels,https://hotels.ng/hotel/23619-serob-legacy-hotels-abuja,"Wuse, Abuja - Plot 686/687 Idris Gidado Street",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦10,500
                                               avg/night
                                           ",
Hotel De Horizone,https://hotels.ng/hotel/99444-hotel-de-horizon-abuja,"Wuse, Abuja - Plot 5, Kandi Close, Off Aminu Kano Crescent, Wuse II, Abuja",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦21,850
                                               avg/night
                                           ",
Stonehedge Hotel,https://hotels.ng/hotel/1000989-stonehedge-hotel-abuja,"Central Business District, Abuja - 1041 Kur Mohammed Street, Central Business District, Abuja",https://hotels.ng/hotels-in-abuja/central-business-district,Central Business District,,"₦44,500
                                               avg/night
                                           ",
Inti's Royal Suites,https://hotels.ng/hotel/1241646-intis-royal-suite,"Garki 2, Abuja -  Plot 287, Ladoke Akintola Boulevard",https://hotels.ng/hotels-in-abuja/garki-2,Garki 2,,"₦23,000
                                               avg/night
                                           ",
Mayfair Hotel Abuja,https://hotels.ng/hotel/1408433-mayfair-hotel-abuja,"Maitama, Abuja - 2 Danube Street, Off IBB Way, Maitama ",https://hotels.ng/hotels-in-abuja/maitama,Maitama,,"₦30,000
                                               avg/night
                                           ",
Falak Grand  Hotel ,https://hotels.ng/hotel/1004229-falak-grand-hotel-abuja,"Garki, Abuja - Plot 7  Oro Ago Street . Opp Old  Ferma Office Now Nesrea. Off Mohammad Buhari Way  .  Near  Old  CBN  Garki  2  Abuja ",https://hotels.ng/hotels-in-abuja/garki,Garki,,"₦14,000
                                               avg/night
                                           ",
De Franklin Apartments,https://hotels.ng/hotel/1391377-de-franklin-apartments,"Gwarimpa , Abuja - 1, Paul Muotolum Crescent, Plot 1010 Old Gwarimpa Road OffAsba & Dantata Street, Life Camp Abuja ",https://hotels.ng/hotels-in-abuja/gwarimpa,Gwarimpa ,,"₦29,375
                                               avg/night
                                           ",
Sun Heaven Hotel Asokoro,https://hotels.ng/hotel/1392429-sun-heaven-hotel-asokoro,"Asokoro, Abuja -   36 Manman Nasir, Asokoro, ",https://hotels.ng/hotels-in-abuja/asokoro,Asokoro,,"₦23,000
                                               avg/night
                                           ",
Bible Guest House,https://hotels.ng/hotel/73177-bible-guest-house-abuja,"Wuse, Abuja - 23 Ndola Crescent Beside NYSC (FCT) Sec.",https://hotels.ng/hotels-in-abuja/wuse,Wuse,"The hotel was okay, their services were nice and the facilities were in proper working ord...","₦9,780
                                               avg/night
                                           ",7.7 Very Good
Kas Guest House Limited,https://hotels.ng/hotel/63233-kas-guest-house-limited-abuja,"Kubwa, Abuja - Plot 48 Alhaji Audu Road, Off Wokili Avenue",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,,"₦5,750
                                               avg/night
                                           ",
Hotel Millennium,https://hotels.ng/hotel/86917-hotel-millenium-abuja,"Wuse, Abuja - Plot 1906 Sokode Crescent, Off Dalaba Street, Micheal Okpara Way",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦8,000
                                               avg/night
                                           ",
Oxford Hotels,https://hotels.ng/hotel/67929-oxford-hotels-abuja,"Wuse, Abuja - 26, Suez Crescent, Abacha Estate, Wuse Zone 4, Abuja",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦13,200
                                               avg/night
                                           ",
Atlas International Hotels,https://hotels.ng/hotel/57741-atlas-intl-hotels-1-secretarait-road-gwagwalada-abuja-abuja,"Gwagwalada , Abuja - 1, Secretarait Road, Gwagwalada Abuja ",https://hotels.ng/hotels-in-abuja/gwagwalada,Gwagwalada ,,"₦5,000
                                               avg/night
                                           ",6.5 Very Good
Western Dreams Hotel,https://hotels.ng/hotel/72881-western-dreams-hotel-abia,"Jabi, Abuja - Plot 387 Idris Ibrahim Crescent, Opposite Golf Course",https://hotels.ng/hotels-in-abuja/jabi,Jabi,,"₦23,000
                                               avg/night
                                           ",
 Kriscane Suites,https://hotels.ng/hotel/35296-kriscane-suites-abuja,"Gwarinpa, Abuja - Plot 21, Mamman Shata Street",https://hotels.ng/hotels-in-abuja/gwarinpa,Gwarinpa,,"₦10,992
                                               avg/night
                                           ",
Maple Apartment,https://hotels.ng/hotel/1001908-maple-apartment-abuja,"Life Camp, Abuja - Salisu Lliyasu Street, After Holy Family Catholic Church, Life Camp, Abuja. 5 Minutes Away From Wuse",https://hotels.ng/hotels-in-abuja/life-camp,Life Camp,,"₦15,000
                                               avg/night
                                           ",
The Duchess Hotel And Spa,https://hotels.ng/hotel/1391417-the-duchess-hotel-and-spa,"Maitama, Abuja - N0 2, Lake Valencia Crescent, Off Limpopo Street Maitama",https://hotels.ng/hotels-in-abuja/maitama,Maitama,,"₦15,000
                                               avg/night
                                           ",
House X,https://hotels.ng/hotel/1392172-house-x,"Wuse , Abuja - Plot A25 Faplins Estate, Dakwo District. Abuja",https://hotels.ng/hotels-in-abuja/wuse,Wuse ,,"₦15,000
                                               avg/night
                                           ",
